timestamp,nanoseconds,roll,pitch
1731002536436613514,429776512,-1.259048313350456e-16,-1.2241635178694029e-16
1731002536537947792,529776768,-1.2610093793849412e-16,-1.2241068357869432e-16
1731002536637173553,629776256,-1.2616302020366807e-16,-1.2240882364325639e-16
1731002536736759573,729777792,-1.2610021542023644e-16,-1.2241070503925229e-16
1731002536837841833,829778304,-1.261664359465926e-16,-1.2240872039564499e-16
1731002536937791257,929777280,-1.2595876311622703e-16,-1.224148243032666e-16
1731002537036783644,29779072,-1.2587143607576602e-16,-1.2241728570376756e-16
1731002537138149408,129777792,-1.2543978642604307e-16,-1.2242853657487278e-16
1731002537237219062,229780096,-1.25142904833126e-16,-1.2243539087169644e-16
1731002537336835539,329782656,-1.248797833108485e-16,-1.2244086369429391e-16
1731002537438078181,429782912,-1.2471743485734937e-16,-1.2244395829026076e-16
1731002537537793294,529782144,-1.247444158878477e-16,-1.2244345891272213e-16
1731002537636830239,629782912,-1.273741996989422e-16,-1.2236623080779706e-16
1731002537737991528,729782912,-1.3446788107599615e-16,-1.2187502200410422e-16
1731002537837503936,829781376,-1.441997716237615e-16,-1.2052046969298946e-16
1731002537936207439,929784704,-1.4339735247417236e-16,-1.2066242599143265e-16
1731002538037948530,29785216,-1.4392865294173497e-16,-1.205690494634291e-16
1731002538137408394,129787264,-1.4452484691380963e-16,-1.20461391568384e-16
1731002538236212502,229784960,-1.4432803322899832e-16,-1.2049726805398655e-16
1731002538337971979,329784960,-1.4405434290216482e-16,-1.2054660625130759e-16
1731002538437892012,429784448,-1.4420888088935408e-16,-1.205188265400637e-16
1731002538536513389,529786240,-1.4436797885780269e-16,-1.2049001337052463e-16
1731002538637900891,629786496,-1.4428594425996368e-16,-1.205048971992186e-16
1731002538738033477,729786752,-1.442256275284162e-16,-1.205158038830311e-16
1731002538836634534,829785216,-1.443080245602084e-16,-1.2050089676561603e-16
1731002538938008046,929786752,-1.4429985466748929e-16,-1.2050237744598768e-16
1731002539037291738,29786240,-1.442434461008075e-16,-1.2051258511056424e-16
1731002539136407955,129787008,-1.4425835618359625e-16,-1.205098896410858e-16
1731002539237983384,229786752,-1.4426516915975988e-16,-1.2050865734583615e-16
1731002539338035734,329785472,-1.4424969821674202e-16,-1.2051145507461029e-16
1731002539436928310,429783936,-1.442404368306434e-16,-1.2051312890037273e-16
1731002539537959511,529784448,-1.44255286274545e-16,-1.2051044478007044e-16
1731002539637425162,629783424,-1.4426323049637299e-16,-1.2050900804155e-16
1731002539736792587,729782912,-1.4426651555871445e-16,-1.2050841376921157e-16
1731002539837958350,829783424,-1.442782541486653e-16,-1.205062894863144e-16
1731002539937548187,929782912,-1.4427590901563818e-16,-1.2050671396949846e-16
1731002540036638492,29781632,-1.442658938547015e-16,-1.205085262434256e-16
1731002540137988781,129781632,-1.4427234992293622e-16,-1.205073580966407e-16
1731002540237168521,229783936,-1.4427229842815923e-16,-1.2050736741540555e-16
1731002540336752299,329785984,-1.4426638312399702e-16,-1.2050843772862485e-16
1731002540438033108,429786240,-1.442696571457596e-16,-1.2050784536524206e-16
1731002540537692789,529785728,-1.4428201736967895e-16,-1.2050560822217237e-16
1731002540637363815,631779840,-1.442844654691816e-16,-1.2050516497219758e-16
1731002540736791634,729780864,-1.442828027495782e-16,-1.2050546602782086e-16
1731002540836731363,829779072,-1.4428631210935413e-16,-1.2050483058774595e-16
1731002540972406220,959779072,-1.4428422084134284e-16,-1.2050520926653205e-16
1731002541038404707,29777792,-1.442810186197679e-16,-1.2050578903988753e-16
1731002541138042494,129780864,-1.4428139568046037e-16,-1.2050572077630238e-16
1731002541237894721,229781632,-1.442745516101356e-16,-1.2050695964652313e-16
1731002541338334538,329787520,-1.4427028987154852e-16,-1.2050773087661184e-16
1731002541438171511,429792384,-1.4426647508890637e-16,-1.2050842109081871e-16
1731002541543759096,529793408,-1.4425932552300502e-16,-1.2050971433634928e-16
1731002541642468008,629783424,-1.4425558240887873e-16,-1.2051039123291114e-16
1731002541738192200,729782144,-1.442590091550837e-16,-1.205097715522765e-16
1731002541838740320,829780096,-1.442504211137716e-16,-1.2051132439330004e-16
1731002541938065225,929787008,-1.4423027767001728e-16,-1.2051496413713049e-16
1731002542043352943,29786240,-1.442296669559963e-16,-1.2051507443350112e-16
1731002542141986120,129784448,-1.4423096192944876e-16,-1.2051484055449164e-16
1731002542238146671,229791104,-1.4423501053637605e-16,-1.2051410926212348e-16
1731002542343477622,329790592,-1.4423518344972444e-16,-1.2051407802597837e-16
1731002542442020623,429789056,-1.4422847316172353e-16,-1.2051529002629056e-16
1731002542538134197,529795968,-1.442259236754275e-16,-1.2051575040884201e-16
1731002542643545952,629795712,-1.4407261315208518e-16,-1.20543332656057e-16
1731002542742042996,729794176,-1.4313624743965584e-16,-1.2070743192811796e-16
1731002542838169744,829799552,-1.4236912983441856e-16,-1.2083629711313315e-16
